frameindex,frametime,cputime,culltime,gputime,draws,tris,
1288,9546.900391,2266.600098,1779.000000,7448.700195,2397,30696518,
1289,10006.400391,2260.699951,1829.099976,7896.200195,2419,30459942,
1290,9478.299805,2141.800049,1706.699951,7500.700195,2400,30327142,
1291,9635.099609,2285.000000,1805.800049,7524.000000,2458,30332678,
1292,9629.799805,2174.699951,1741.000000,7611.000000,2385,30098598,
1293,9840.900391,2287.000000,1840.500000,7717.100098,2382,30096358,
1294,10090.099609,2344.500000,1876.099976,7934.000000,2366,30077926,
1295,9883.299805,2213.899902,1753.099976,7834.700195,2407,30101222,
1296,9944.099609,2307.899902,1844.400024,7806.000000,2418,30305910,
1297,9798.299805,2245.399902,1805.400024,7700.799805,2396,30224358,
1298,9729.400391,2248.899902,1834.800049,7629.100098,2377,30003078,
1299,10040.599609,2326.600098,1909.199951,7867.700195,2369,29972582,
1300,9621.900391,2304.500000,1841.400024,7479.299805,2354,26655420,
1301,9659.900391,2263.800049,1811.000000,7564.100098,2346,26626012,
1302,9627.599609,2266.699951,1830.000000,7525.500000,2360,26649692,
1303,9814.000000,2239.699951,1745.900024,7748.799805,2373,26562940,
1304,9697.500000,2198.199951,1753.300049,7660.899902,2383,26621452,
1305,9890.799805,2196.500000,1750.500000,7859.500000,2424,26539388,
1306,9909.900391,2355.000000,1875.800049,7717.799805,2417,26577020,
1307,10051.799805,2337.500000,1847.000000,7880.000000,2396,26567996,
1308,10085.799805,2235.000000,1797.300049,8011.299805,2421,26566412,
1309,9940.500000,2246.699951,1826.400024,7850.899902,2385,26462524,
1310,9862.500000,2183.500000,1754.300049,7829.799805,2410,26618716,
1311,9714.599609,2183.500000,1733.900024,7683.899902,2409,30015377,
1312,9927.099609,2347.000000,1902.599976,7742.000000,2396,29595324,
1313,9764.799805,2209.000000,1763.900024,7713.100098,2393,28416412,
1314,9807.500000,2284.100098,1822.500000,7689.799805,2403,27001852,
1315,10175.000000,2302.800049,1847.599976,8030.299805,2422,27381164,
1316,10083.599609,2261.500000,1784.599976,7998.000000,2436,27028476,
1317,9993.099609,2311.100098,1871.500000,7841.000000,2436,26813916,
1318,10042.200195,2299.699951,1872.400024,7895.600098,2430,26775260,
1319,10132.799805,2376.399902,1927.300049,7907.500000,2439,29937276,
1320,10091.599609,2288.100098,1818.300049,7971.500000,2469,29962172,
1321,10231.799805,2307.899902,1819.199951,8096.000000,2434,29961852,
1322,10020.099609,2204.899902,1764.599976,7978.899902,2421,27409820,
1323,10086.700195,2206.199951,1767.099976,8039.799805,2468,30427740,
1324,10027.099609,2281.399902,1849.199951,7906.399902,2444,30693937,
1325,10180.200195,2396.500000,1947.800049,7943.100098,2431,30369644,
1326,10348.000000,2401.399902,1934.599976,8104.600098,2442,30177052,
1327,9945.099609,2303.600098,1848.099976,7811.700195,2429,30174620,
1328,10558.700195,2350.699951,1896.599976,8368.000000,2419,30177500,
1329,10024.500000,2249.100098,1794.900024,7949.500000,2401,30098748,
1330,10104.500000,2233.600098,1791.699951,8025.299805,2429,30154108,
1331,10085.099609,2192.199951,1739.800049,8057.700195,2478,30067068,
1332,10066.000000,2308.399902,1829.900024,7927.299805,2505,29809660,
